구분,응급의료기관명,소재지,연락처,위도,경도,출처
권역응급의료센터,경북대학교병원,대구광역시 중구 동덕로 130,053-200-5114,35.866469,128.604834,OSM Nominatim 시설명
권역응급의료센터,영남대학교병원,대구광역시 남구 현충로 170,053-620-5114,35.847322,128.585045,OSM Nominatim 시설명
권역응급의료센터,계명대학교 동산병원,대구광역시 달서구 달구벌대로 1035,053-258-5114,35.854052,128.480213,OSM Nominatim 시설명
지역응급의료센터,대구가톨릭대학교병원,대구광역시 남구 두류공원로17길 33,053-650-4114,35.844746,128.567923,도로명주소 Nominatim
지역응급의료센터,칠곡경북대학교병원,대구광역시 북구 호국로 807,053-200-2114,35.956565,128.563887,OSM Nominatim 시설명
지역응급의료센터,대구파티마병원,대구광역시 동구 아양로 99,053-940-7114,35.884310,128.624395,OSM Nominatim 시설명
지역응급의료기관,대구의료원,대구광역시 서구 평리로 157,053-560-7114,35.859597,128.540303,OSM Nominatim 시설명
지역응급의료기관,곽병원,대구광역시 중구 국채보상로 531,053-605-3114,35.870800,128.598500,공개지도좌표(국채보상로 531)
지역응급의료기관,드림종합병원,대구광역시 남구 대명로 157,053-650-9000,35.843517,128.586703,도로명주소 Nominatim
지역응급의료기관,삼일병원,대구광역시 달서구 월배로 436,053-620-8000,35.820404,128.542336,도로명주소 Nominatim
지역응급의료기관,보강병원,대구광역시 동구 동촌로 67,053-980-2114,35.884200,128.650500,기존공개좌표
지역응급의료기관,더블유병원,대구광역시 달서구,053-550-5000,35.853900,128.508800,기존공개좌표
