소방서명,위도,경도,주소,출처
대구중부소방서,35.862455,128.575284,대구광역시 중구 달구벌대로 1926,OSM Nominatim 시설명
대구동부소방서,35.881700,128.628800,대구광역시 동구 동대구로 447,도로명주소 근사(공개지도)
대구서부소방서,35.869800,128.555500,대구광역시 서구 서대구로 1,도로명주소 근사(공개지도)
대구북부소방서,35.878005,128.592298,대구광역시 북구 칠성동(칠성로24길),OSM Nominatim 시설명
대구수성소방서,35.825275,128.644549,대구광역시 수성구 청호로 87,OSM Nominatim 시설명
대구달서소방서,35.831053,128.534706,대구광역시 달서구 학산로,OSM Nominatim 시설명
대구달성소방서,35.698750,128.442024,대구광역시 달성군 현풍읍 현풍중앙로 126,도로명주소 Nominatim
대구남부소방서,35.834193,128.604390,대구광역시 남구 앞산순환로 501,도로명주소 Nominatim
대구강서소방서,35.853521,128.471717,대구광역시 달성군 다사읍 달구벌대로 793,도로명주소 Nominatim
대구강북소방서,35.942870,128.565528,대구광역시 북구 구암서로 71,OSM Nominatim 시설명
