표준링크ID,출발표준노드,도착표준노드,지도상거리
1510604402,1510009107,1510009110,11.439588419545
1570772501,1570242402,1570242401,18.262651191973
3680413001,3680176301,3680176304,11.999957098575
3600737001,3600266003,3600266002,12.000055774764
1530021704,1530006411,1530069800,45.351643918803
1570608317,1570201427,1570201426,12.076159831578
3680412602,3680004001,3680004004,12.003380920691
1540039004,1540014208,1540014207,12.001219262277
3690662902,3690185004,3690185003,12.005233892359
1540006003,1540002105,1540002104,10.682890321172
3600678300,3600006702,3600665800,67.021951012323
1570590801,1570196208,1570196207,12.000478896618
1570578401,1570192402,1570192401,11.999981779539
1570017123,1570313800,1570008730,440.225548257871
1560105000,1560020902,1560028903,22.148887257681
1510039604,1510013211,1510013517,171.649811645432
1540037405,1540386800,1540013803,294.38640394853
1570580500,1570192904,1570192501,285.248228527515
1570832900,1570277702,1570276203,155.709897812528
3660019400,3660009101,3660344500,352.626721897203
1570785805,1570834300,1570822500,116.893529708825
1540045202,1540339500,1540322800,158.043659219699
1540343000,1540110202,1540110003,24.070830863555
1550385901,1550004203,1550004202,12.00301263506
1550059801,1550017509,1550017402,136.788550646362
1540008200,1540003908,1540003602,266.328945338227
1560027102,1560009031,1560001402,114.959249592868
3670500500,3670250204,3670007247,349.816015015478
1550376702,1550017719,1550017718,6.786300872498
1570027520,1570688300,1570688100,375.116111443779
1510023402,1510547000,1510014602,260.445015091611
3680416006,3680745200,3680181301,456.102588817099
1510632701,1510221903,1510221902,9.730475354896
1550394800,1550020122,1550285800,121.444375659068
1530009901,1530004208,1530004207,13.607579746664
1560478300,1560149202,1560382000,320.805260552384
3690658600,3690176102,3690295600,175.828492003067
1510529606,1510370900,1510017211,50.699785302269
3600615500,3600092317,3600246304,50.495928614265
1510056800,1510019302,1510013209,377.991008053424
1540104102,1540030304,1540030303,13.16318205621
3600646602,3600255401,3600255404,12.000513030693
1550049900,1550015501,1550309500,102.758890363867
1550027002,1550009209,1550159800,178.625797250668
1520008200,1520003503,1520166300,261.964379013082
3600686902,3600270101,3600270104,12.010179955546
1570690901,1570012310,1570012309,10.928384249297
1540112700,1540033601,1540033803,204.790077993629
1510014301,1510000306,1510318400,137.007499445164
1540003206,1540354900,1540343000,115.236823731979
1510584600,1510129313,1510203902,91.315243137038
1510351205,1510128208,1510128205,58.363060700834
3680004854,3680355000,3680087410,4.88079578674
1570827700,1570276001,1570003039,234.498958532324
1540415001,1540137204,1540137203,12.010119661362
1500022500,1500006401,1500068700,342.654722304985
1570031210,1570713600,1570860900,306.142855513282
3600014408,3600843300,3600006606,273.409054169594
1570721300,1570249002,1570248905,50.724470225117
3600678801,3600267002,3600267001,11.948046475924
1560434901,1560135501,1560135504,12.028466687076
