표준노드ID,노드명,노드유형코드,회전제한여부,경도,위도,적용시작일자
1540104500,속성변화점,103,0,128.544827,35.904913,2020-09-01
1540104600,관음중학교,101,0,128.547376,35.941284,2020-09-01
1540104700,관음동산90-3,102,0,128.537689,35.934476,2020-09-01
1540104800,태전동345,102,0,128.546089,35.927969,2020-09-01
1540104900,태전동1068-6,101,0,128.547001,35.927902,2020-09-01
1540105000,대구태전초등학교,101,0,128.546051,35.929419,2020-09-01
1540105100,동아아울렛,101,0,128.549451,35.933243,2020-09-01
1540105200,칠곡네거리,101,0,128.547876,35.933502,2020-09-01
1560132900,용산동971,101,0,128.528903,35.85816,2020-09-01
1560133000,용산동979,101,0,128.524666,35.856202,2020-09-01
1560133100,용산동980,101,0,128.524516,35.855827,2020-09-01
1560133200,용산동981,101,0,128.524366,35.85546,2020-09-01
1560133300,용산동944-6,101,0,128.524616,35.854452,2020-09-01
1560133400,용산동945-6,101,0,128.524979,35.854452,2020-09-01
1560133500,용산동946-1,101,0,128.525366,35.85546,2020-09-01
1560133600,용산동942-6,101,0,128.524991,35.85546,2020-09-01
1560133700,용산동942-9,101,0,128.524616,35.855452,2020-09-01
1560133800,용산동939-6,101,0,128.525366,35.85621,2020-09-01
1560133900,용산동938-4,102,0,128.525366,35.857218,2020-09-01
1560134000,용산동980,101,0,128.525366,35.855827,2020-09-01
1560134100,용산1동행정복지센터,101,0,128.531591,35.856402,2020-09-01
1560134200,대구용산초등학교,101,0,128.531641,35.855619,2020-09-01
1560134300,용산중학교,101,0,128.531741,35.854385,2020-09-01
1560134400,용산동976,101,0,128.531366,35.854385,2020-09-01
1560134500,용산동975,101,0,128.530991,35.855619,2020-09-01
1560134600,대구용산초등학교,101,0,128.531141,35.855619,2020-09-01
1560134700,대구용산초등학교,101,0,128.531366,35.855619,2020-09-01
1560134800,용산1동행정복지센터,101,0,128.531153,35.856402,2020-09-01
1560134900,죽전동382,101,0,128.536253,35.856768,2020-09-01
1560135000,죽전동382,102,0,128.535853,35.856777,2020-09-01
1560135100,죽전동381,102,0,128.536253,35.858018,2020-09-01
1560135200,용산동238-5,102,0,128.531891,35.852569,2020-09-01
1560135300,장기동12-16,102,0,128.523101,35.851816,2020-09-01
1560135400,장기동809,102,0,128.524879,35.846745,2020-09-01
1560135500,장동34-4,101,0,128.524481,35.837911,2020-09-01
1560135600,장동98-2,102,0,128.518967,35.837587,2020-09-01
1560135700,장동77,102,0,128.517467,35.837346,2020-09-01
1560135800,장동873,101,0,128.525329,35.838046,2020-09-01
1560135900,장동873-3,101,0,128.527154,35.839362,2020-09-01
1560136000,장동873-3,101,0,128.526341,35.839237,2020-09-01
1560136100,장동873,101,0,128.525454,35.839129,2020-09-01
1560136200,장동98-9,101,0,128.524391,35.838937,2020-09-01
1560136300,장기동709,102,0,128.519654,35.838662,2020-09-01
1560136400,장동873,101,0,128.525379,35.840079,2020-09-01
1560136500,장동873,102,0,128.525154,35.84077,2020-09-01
1560136600,장동873-2,101,0,128.526204,35.840229,2020-09-01
1560136700,장기동581-8,101,0,128.524116,35.842053,2020-09-01
